Word,Position,Frequency,MI,Log-Likelihood
onca,right,1,2.8787,3.9907
hızla,right,1,2.8787,3.9907
buz,right,1,2.8787,3.9907
düşünüyorum,right,1,2.8787,3.9907
şimdi,left,4,0.7160,3.9702
seher,left,1,2.8573,3.9611
önüne,right,1,2.8573,3.9611
oldun,left,1,2.8363,3.9319
gölge,left,1,2.8363,3.9319
kimsenin,left,1,2.8363,3.9319
güz,right,1,2.8363,3.9319
simdi,right,1,2.8363,3.9319
abdal'ım,left,1,2.8155,3.9031
uğruna,left,1,2.8155,3.9031
toprağın,right,1,2.8155,3.9031
gözlerimi,right,1,2.8155,3.9031
hasta,right,1,2.8155,3.9031
geçip,left,1,2.7950,3.8747
parlak,right,1,2.7950,3.8747
kim,right,3,0.9298,3.8671
elini,right,1,2.7749,3.8468
istersen,left,1,2.7550,3.8192
diyen,right,1,2.7550,3.8192
olurdu,right,1,2.7550,3.8192
gibidir,left,1,2.7353,3.7920
seven,right,1,2.7353,3.7920
mutlaka,right,1,2.7353,3.7920
yok,right,4,0.6792,3.7661
durdu,right,1,2.7160,3.7651
kalbimi,right,1,2.7160,3.7651
gördüm,left,2,1.3412,3.7185
giderken,left,1,2.6780,3.7125
ıslak,right,1,2.6780,3.7125
yıllarca,right,1,2.6780,3.7125
belki,right,3,0.8877,3.6918
budur,left,1,2.6594,3.6867
dalga,left,1,2.6594,3.6867
çılgın,right,1,2.6594,3.6867
uyku,left,1,2.6410,3.6612
anlar,right,1,2.6410,3.6612
insanı,left,1,2.6229,3.6361
evvel,right,1,2.6049,3.6112
i̇şte,left,2,1.3009,3.6069
sağ,right,1,2.5872,3.5867
güç,right,1,2.5872,3.5867
içinde,left,3,0.8591,3.5729
onunla,right,1,2.5697,3.5624
hiç,right,4,0.6421,3.5608
ediyor,left,1,2.5525,3.5385
ölür,right,1,2.5525,3.5385
dağların,right,1,2.5525,3.5385
yeniden,right,2,1.2688,3.5179
olursa,right,1,2.5354,3.5148
asıl,right,1,2.5354,3.5148
kat,right,1,2.5354,3.5148
babam,left,1,2.5018,3.4683
miydi,left,1,2.5018,3.4683
geriye,right,1,2.5018,3.4683
dağları,right,1,2.4854,3.4454
üstüme,right,1,2.4691,3.4228
gelsin,right,1,2.4691,3.4228
yâr,right,1,2.4691,3.4228
yine,right,3,0.8189,3.4059
gecede,right,1,2.4370,3.3784
gidiyorum,right,1,2.4370,3.3784
rüzgâr,right,1,2.4212,3.3565
günleri,left,1,2.4056,3.3349
tekrar,left,1,2.4056,3.3349
yüzünde,right,1,2.4056,3.3349
artık,left,4,0.6005,3.3298
çekip,right,1,2.3902,3.3135
açar,right,1,2.3749,3.2924
göğe,left,1,2.3598,3.2714
gözler,left,1,2.3598,3.2714
yollara,right,1,2.3598,3.2714
uzaktan,right,1,2.3598,3.2714
güzelim,left,1,2.3301,3.2302
güzelim,right,1,2.3301,3.2302
yüce,right,1,2.3301,3.2302
dert,right,1,2.3301,3.2302
ruhum,right,1,2.3154,3.2099
geniş,right,1,2.3154,3.2099
değil,left,4,0.5763,3.1956
kuru,right,1,2.3009,3.1898
midir,left,1,2.2866,3.1699
düşün,left,1,2.2866,3.1699
cennet,right,1,2.2866,3.1699
sesin,right,1,2.2866,3.1699
düşün,right,1,2.2866,3.1699
içime,right,1,2.2724,3.1502
aldı,right,1,2.2724,3.1502
terk,right,1,2.2583,3.1306
uyan,right,1,2.2443,3.1113
niye,right,1,2.2443,3.1113
duran,left,1,2.2305,3.0922
zamanın,right,1,2.2305,3.0922
yavaş,left,1,2.2169,3.0732
onları,left,1,2.2169,3.0732
yavaş,right,1,2.2169,3.0732
yan,right,1,2.2169,3.0732
bayram,left,1,2.2033,3.0544
geçiyor,left,1,2.2033,3.0544
zamanı,left,1,2.2033,3.0544
geçiyor,right,1,2.2033,3.0544
adına,right,1,2.2033,3.0544
ki,left,8,0.2750,3.0500
olmalı,left,1,2.1899,3.0358
olmalı,right,1,2.1899,3.0358
söyler,right,1,2.1899,3.0358
suyu,right,1,2.1899,3.0358
yolda,left,1,2.1766,3.0174
yolda,right,1,2.1766,3.0174
boyunca,right,1,2.1634,2.9991
bunlar,right,1,2.1634,2.9991
dar,left,1,2.1504,2.9810
hayatı,left,1,2.1504,2.9810
dar,right,1,2.1504,2.9810
kurşun,right,1,2.1246,2.9453
akar,right,1,2.1246,2.9453
gelecek,right,1,2.1246,2.9453
biraz,left,2,1.0560,2.9280
nefes,right,1,2.1119,2.9277
içindeki,right,1,2.0993,2.9102
boşuna,right,1,2.0993,2.9102
vardı,right,2,1.0469,2.9027
zaten,right,1,2.0868,2.8929
yanlış,left,1,2.0744,2.8758
ellerini,right,1,2.0744,2.8758
zamanlar,left,1,2.0621,2.8587
zamanlar,right,1,2.0621,2.8587
korkunç,left,1,2.0500,2.8419
yüzünü,right,1,2.0379,2.8251
anladım,right,1,2.0379,2.8251
yeri,right,1,2.0379,2.8251
mutlu,right,1,2.0259,2.8085
zor,left,1,2.0140,2.7921
kutsal,left,1,2.0140,2.7921
oluyor,right,1,2.0140,2.7921
içine,right,1,2.0023,2.7757
düşman,right,1,1.9906,2.7595
nerede,right,1,1.9906,2.7595
kendime,left,1,1.9224,2.6650
bak,right,2,0.9589,2.6588
sensin,left,1,1.8787,2.6044
aşka,left,1,1.8787,2.6044
bulutlar,right,1,1.8468,2.5601
iş,right,1,1.8468,2.5601
yola,right,1,1.8468,2.5601
r,left,1,1.8363,2.5456
yerine,right,1,1.8363,2.5456
oğlum,right,1,1.7950,2.4885
yollar,right,1,1.7849,2.4744
yanında,left,1,1.7550,2.4329
elleri,right,1,1.7550,2.4329
akan,right,1,1.7550,2.4329
ortasında,left,1,1.7451,2.4192
kişi,left,1,1.7451,2.4192
kişi,right,1,1.7451,2.4192
ortasında,right,1,1.7451,2.4192
gökyüzü,right,1,1.7353,2.4057
sessiz,right,1,1.7064,2.3655
ölüm,left,2,0.8494,2.3550
ölüm,right,2,0.8494,2.3550
gözlerinde,right,1,1.6969,2.3523
denize,right,1,1.6969,2.3523
benzer,left,1,1.6874,2.3392
aşık,right,1,1.6874,2.3392
haber,right,1,1.6874,2.3392
belli,left,1,1.6780,2.3262
olmayan,left,1,1.6687,2.3133
damla,right,1,1.6687,2.3133
kanlı,right,1,1.6687,2.3133
adını,right,1,1.6502,2.2876
olup,right,1,1.5961,2.2126
sonunda,right,1,1.5961,2.2126
yakın,left,1,1.5785,2.1882
kötü,left,1,1.5697,2.1761
gözlerini,left,1,1.5697,2.1761
kötü,right,1,1.5697,2.1761
i̇nsan,right,1,1.5611,2.1641
ellerin,right,1,1.5525,2.1522
hoş,left,1,1.5354,2.1285
ayak,right,1,1.5185,2.1051
durur,left,1,1.5102,2.0935
insanlar,right,1,1.5102,2.0935
anne,right,1,1.5018,2.0820
diyorum,right,1,1.4936,2.0705
burada,left,1,1.4854,2.0591
kalbim,left,1,1.4772,2.0478
kalbim,right,1,1.4772,2.0478
evet,left,1,1.4529,2.0142
hala,right,1,1.4529,2.0142
açık,right,1,1.4529,2.0142
büyük,right,2,0.7256,2.0118
kadar,left,4,0.3570,1.9797
güzel,left,3,0.4704,1.9564
rüzgar,right,1,1.3523,1.8747
aşkı,right,1,1.3523,1.8747
için,left,5,0.2702,1.8732
bende,left,1,1.3375,1.8541
bende,right,1,1.3375,1.8541
adı,right,1,1.3227,1.8337
ister,right,1,1.3154,1.8236
kör,right,1,1.3154,1.8236
i̇ki,right,1,1.3082,1.8135
olacak,left,1,1.2866,1.7836
tüm,right,1,1.2866,1.7836
olacak,right,1,1.2866,1.7836
geldim,right,1,1.2866,1.7836
nereye,right,1,1.2866,1.7836
kalır,right,1,1.2795,1.7737
geç,right,1,1.2795,1.7737
günler,left,1,1.2583,1.7444
sizi,right,1,1.2513,1.7347
onu,right,2,0.6229,1.7269
gizli,right,1,1.2443,1.7250
kırmızı,left,1,1.2374,1.7154
yorgun,left,1,1.2305,1.7059
sevgi,right,1,1.2033,1.6682
sende,right,1,1.2033,1.6682
orda,left,1,1.1966,1.6588
ver,right,1,1.1966,1.6588
son,right,2,0.5850,1.6221
kalan,left,1,1.1700,1.6220
ta,left,1,1.1634,1.6129
ta,right,1,1.1634,1.6129
kız,right,1,1.1634,1.6129
sesi,left,1,1.1310,1.5679
hayatın,right,1,1.1246,1.5590
kendine,right,1,1.0993,1.5239
gel,right,2,0.5418,1.5021
içimde,right,1,1.0500,1.4556
çiçek,right,1,1.0500,1.4556
yaşamak,right,1,1.0379,1.4388
orada,left,1,1.0259,1.4222
nerde,right,1,1.0259,1.4222
sevgili,right,1,1.0081,1.3976
vardır,right,1,0.9675,1.3412
yeşil,right,1,0.9618,1.3333
benim,left,4,0.2374,1.3166
bunu,left,1,0.9280,1.2865
bunu,right,1,0.9280,1.2865
bahar,left,1,0.9224,1.2787
bahar,right,1,0.9224,1.2787
biz,left,2,0.4449,1.2336
çocuklar,left,1,0.8733,1.2107
o,right,11,0.0792,1.2076
geri,right,1,0.8626,1.1959
taş,right,1,0.8207,1.1377
birden,right,1,0.8155,1.1305
deli,right,1,0.8104,1.1234
dost,right,1,0.8001,1.1092
kendimi,right,1,0.7950,1.1022
üstüne,right,1,0.7749,1.0742
git,right,1,0.7649,1.0603
nice,left,1,0.7064,0.9793
mavi,left,1,0.6733,0.9334
göz,right,1,0.6456,0.8950
kaç,right,1,0.6364,0.8823
söz,right,1,0.6274,0.8697
gözlerin,left,1,0.6184,0.8572
yoksa,left,1,0.6184,0.8572
gözlerin,right,1,0.6184,0.8572
beyaz,right,1,0.6139,0.8510
ilk,left,1,0.6094,0.8448
ilk,right,1,0.6094,0.8448
al,left,1,0.6049,0.8386
dolu,right,1,0.6049,0.8386
üstünde,right,1,0.5916,0.8202
gider,left,1,0.5525,0.7659
küçük,right,1,0.5439,0.7540
iyi,right,1,0.5396,0.7481
şu,left,2,0.2635,0.7307
şu,right,2,0.2635,0.7307
seninle,left,1,0.5102,0.7072
seninle,right,1,0.5102,0.7072
neden,right,1,0.5060,0.7015
kendini,right,1,0.4977,0.6900
allah,right,1,0.4813,0.6672
ey,right,3,0.1536,0.6389
geldi,left,1,0.4569,0.6335
aynı,right,1,0.4489,0.6224
senden,right,1,0.4410,0.6113
ama,left,3,0.1396,0.5805
öyle,left,2,0.2000,0.5544
altında,right,1,0.3787,0.5250
acı,right,1,0.3787,0.5250
hayat,left,1,0.2759,0.3825
yeniden,left,1,0.2688,0.3727
bizim,left,1,0.2618,0.3629
onun,right,1,0.2340,0.3244
hangi,left,1,0.2203,0.3054
hangi,right,1,0.2203,0.3054
nedir,right,1,0.2000,0.2772
olur,left,2,0.0993,0.2753
olur,right,2,0.0993,0.2753
deniz,right,1,0.1700,0.2357
yerde,left,1,0.1374,0.1905
yeni,right,1,0.1056,0.1464
ol,left,1,0.0837,0.1160
akşam,left,1,0.0439,0.0609
var,right,4,0.0096,0.0533
i,left,1,0.0379,0.0525
bizi,left,1,-0.0007,-0.0009
insan,left,1,-0.0065,-0.0090
bin,right,1,-0.0065,-0.0090
gelir,right,1,-0.0210,-0.0291
eski,right,1,-0.0692,-0.0960
ah,right,1,-0.0776,-0.1076
dünya,right,1,-0.1132,-0.1569
hem,right,1,-0.1793,-0.2486
iki,left,1,-0.2100,-0.2912
iki,right,1,-0.2100,-0.2912
can,right,1,-0.2201,-0.3052
gül,left,1,-0.2573,-0.3567
gül,right,1,-0.2573,-0.3567
büyük,left,1,-0.2744,-0.3804
hep,left,2,-0.2100,-0.5823
çünkü,left,1,-0.4324,-0.5995
gel,left,1,-0.4582,-0.6352
su,right,1,-0.5370,-0.7445
tek,right,1,-0.5511,-0.7639
biz,right,1,-0.5551,-0.7695
senin,left,2,-0.3031,-0.8405
yine,left,1,-0.7660,-1.0619
bile,left,1,-0.7677,-1.0643
bile,right,1,-0.7677,-1.0643
artık,right,2,-0.3995,-1.1077
ya,left,2,-0.4095,-1.1353
ya,right,2,-0.4095,-1.1353
aşk,right,1,-0.8349,-1.1575
gece,left,1,-0.9163,-1.2703
gece,right,1,-0.9163,-1.2703
nasıl,left,1,-1.1132,-1.5432
güzel,right,1,-1.1146,-1.5451
bana,right,2,-0.5709,-1.5829
sana,left,2,-0.5798,-1.6074
sana,right,2,-0.5798,-1.6074
bu,left,13,-0.0924,-1.6660
mı,left,1,-1.2151,-1.6845
var,left,3,-0.4054,-1.6861
ben,left,6,-0.2045,-1.7013
senin,right,1,-1.3031,-1.8065
yok,left,1,-1.3208,-1.8311
için,right,3,-0.4667,-1.9411
sonra,left,1,-1.4028,-1.9447
ey,left,1,-1.4313,-1.9843
ama,right,1,-1.4454,-2.0037
gün,left,2,-0.7232,-2.0052
daha,left,1,-1.7677,-2.4506
beni,left,1,-2.1683,-3.0059
ben,right,5,-0.4676,-3.2410
da,left,4,-0.5915,-3.2798
gibi,right,7,-0.3416,-3.3150
de,left,1,-2.9515,-4.0917
gibi,left,3,-1.5640,-6.5045
